Task_ID,Title,Description,Assignee,Created_Date,Due_Date,Completed_Date,Status,Priority,Estimated_Hours,Actual_Hours,Project,Labels/Tags,Task_Complexity,Predicted_Priority,Delay_Risk_Score,Completion_Probability,AI_Recommendation
1,Data Analysis,Documentation task for Data Analytics project.,George,19/07/2024,29/07/2024,29/07/2024,Completed,Critical,3,6,Data Analytics,ML,Medium,Low,0.54,0.46,Maintain current workflow efficiency
2,Backend API,Backend API task for Data Analytics project.,Diana,14/10/2024,23/10/2024,,Completed,Medium,20,22,AI Task Manager,NLP,High,Medium,0.32,0.68,Reassign to experienced member
3,Data Analysis,User Feedback Integration task for Smart Workflow project.,George,18/06/2024,26/06/2024,26/06/2024,Completed,High,9,9,AI Task Manager,backend,Low,High,0.3,0.7,Reassign to experienced member
4,Data Analysis,User Feedback Integration task for Data Analytics project.,Ethan,13/06/2024,26/06/2024,,To Do,High,8,11,Data Analytics,AI,Low,Critical,0.68,0.32,Review task dependencies
5,User Feedback Integration,Documentation task for AI Task Manager project.,Fiona,06/04/2024,17/04/2024,17/04/2024,Completed,Critical,20,20,Smart Workflow,frontend,Medium,Low,0.4,0.6,Review task dependencies
6,UI Design,User Feedback Integration task for Data Analytics project.,Hannah,12/07/2024,27/07/2024,,On Hold,Medium,13,15,Productivity Suite,NLP,Low,High,0.31,0.69,Reassign to experienced member
7,User Feedback Integration,UI Design task for Data Analytics project.,Charlie,04/02/2024,18/02/2024,18/02/2024,Completed,High,12,17,Productivity Suite,AI,Low,Critical,0.72,0.28,Review task dependencies
8,Model Training,Data Analysis task for Data Analytics project.,Alice,27/03/2024,21/04/2024,21/04/2024,Completed,Medium,7,8,AI Task Manager,testing,Medium,High,0.76,0.24,Review task dependencies
9,Data Analysis,Data Analysis task for Automation Bot project.,Ethan,27/06/2024,04/07/2024,04/07/2024,Completed,Critical,16,15,AI Task Manager,ML,Low,High,0.48,0.52,Reassign to experienced member
10,Backend API,Testing task for AI Task Manager project.,Ethan,21/08/2024,25/08/2024,,To Do,Low,14,16,AI Task Manager,backend,High,Critical,0.03,0.97,Maintain current workflow efficiency
11,Model Training,Data Analysis task for Automation Bot project.,Bob,26/05/2024,06/06/2024,06/06/2024,Completed,High,8,12,Data Analytics,backend,Medium,Critical,0.05,0.95,Maintain current workflow efficiency
12,Documentation,Testing task for Data Analytics project.,George,04/02/2024,17/02/2024,,In Progress,Critical,13,16,Productivity Suite,frontend,Low,Medium,0.82,0.18,Reassign to experienced member
13,Testing,UI Design task for Smart Workflow project.,Alice,03/03/2024,23/03/2024,,To Do,Low,8,10,Productivity Suite,ML,Low,Low,0.72,0.28,Maintain current workflow efficiency
14,Model Training,User Feedback Integration task for Productivity Suite project.,Charlie,10/01/2024,02/02/2024,02/02/2024,Completed,Low,14,17,Smart Workflow,ML,High,Critical,0.01,0.99,Review task dependencies
